"Advertiser name",Category,Manufacturer,"Product code","Product name","Product description","Product affiliate link","Product link","Product picture","Price without VAT","Price with VAT","Price with discount, with VAT","Price with discount, without VAT",Currency,"Free shipping",Availability,"Gift included",Size,Adult,Color,Gender,Material,Condition,"Energy efficiency class","Shipping cost","Additional image links","Additional product types","Google product category",GTIN,MPN,EAN,ISBN,"Expiration date"
ITGalaxy.ro,Electrocasnice,OEM,125524893334,"Curea de Incheietura Pentru Telefon/ Umbrela/ Camera Foto Material Silicon Roz",,//profitshare.ro/lps/pPv/K79/?redirect=https%3A%2F%2Fwww.itgalaxy.ro%2Faccesorii-telefon%2Foem%2Ftelefon-umbrela-camera-foto-material-silicon-roz-833376%2F,https://www.itgalaxy.ro/accesorii-telefon/oem/telefon-umbrela-camera-foto-material-silicon-roz-833376/,https://cdni.itgalaxy.ro/images/products/img_202506271509/833376/full/curea-de-incheietura-oem-pentru-telefon-umbrela-camera-foto-material-silicon-roz-2010577.png,42.01,49.99,10,8.40,lei,0,in_stock,0,,,,,,,,,,,,,,,,
ITGalaxy.ro,"fiare de calcat",Philips,DST5010/10/RES,"Fier de calcat Resigilat Seria 5000 DST5010/10 SteamGlide Plus 2400W Alb/Gri","&nbsp; Acest produs este resigilat, in stare buna de functionare, avand doar ambalajul usor deteriorat. ",//profitshare.ro/lps/pPv/K79/?redirect=https%3A%2F%2Fwww.itgalaxy.ro%2Ffiare-de-calcat%2Fphilips%2Fdst5010-10-resigilat-832120%2F,https://www.itgalaxy.ro/fiare-de-calcat/philips/dst5010-10-resigilat-832120/,https://cdni.itgalaxy.ro/images/products/img_202506271509/832120/full/fier-de-calcat-philips-resigilat-seria-5000-dst5010-10-steamglide-plus-2400w-alb-gri-2007185.jpeg,191.59,227.99,149.99,126.04,lei,0,in_stock,0,,,,,,,,,,,,,,,,
ITGalaxy.ro,"uscatoare de par",Babyliss,D572DE/RES,"Uscator de Par Resigilat D572DE 2200W Negru","&nbsp; Produsul este nou, avand doar ambalajul deteriorat. ",//profitshare.ro/lps/pPv/K79/?redirect=https%3A%2F%2Fwww.itgalaxy.ro%2Fuscatoare-de-par%2Fbabyliss%2Fd572de-2200w-negru-resigilat-831969%2F,https://www.itgalaxy.ro/uscatoare-de-par/babyliss/d572de-2200w-negru-resigilat-831969/,https://cdni.itgalaxy.ro/images/products/img_202506271509/831969/full/uscator-de-par-babyliss-resigilat-d572de-2200w-negru-2006564.jpeg,111.76,132.99,95.99,80.66,lei,0,in_stock,0,,,,,,,,,,,,,,,,
ITGalaxy.ro,"Frigidere Auto",iHunt,ihunt-bro-freezer-ic36,"Lada Frigorifica Portabila Bro Freezer Ice IC36 Capacitate 36L cu Masina de Gheata Negru/Gri",,//profitshare.ro/lps/pPv/K79/?redirect=https%3A%2F%2Fwww.itgalaxy.ro%2Ffrigidere-auto%2Fihunt%2Fbro-freezer-ice-ic36-804090%2F,https://www.itgalaxy.ro/frigidere-auto/ihunt/bro-freezer-ice-ic36-804090/,https://cdni.itgalaxy.ro/images/products/img_202502122127/804090/full/lada-frigorifica-portabila-ihunt-bro-freezer-ice-ic36-capacitate-36l-cu-masina-de-gheata-negru-gri-1938205.jpeg,1256.3,1495,1350,1134.45,lei,0,in_stock,0,,,,,,,,,,,,,,,,
ITGalaxy.ro,"masini de spalat rufe",Bosch,WGB244040,"Masina de Spalat Rufe Seria 8 WGB244040 Clasa A HomeConnect MiniLoad IronAssist 9Kg 1400 U/min Alb","&nbsp; Caracteristici generale: Tip:&nbsp;Mașină de spălat rufe cu încărcare frontală Capacitate de spălare:&nbsp;9 kg Viteză maximă de centrifugare:&nbsp;1400 rpm Clasă energetică:&nbsp;A&nbsp;(foarte eficientă energetic) Consum energie (program...",//profitshare.ro/lps/pPv/K79/?redirect=https%3A%2F%2Fwww.itgalaxy.ro%2Fmasini-de-spalat-rufe%2Fbosch%2Fmasina-spalat-rufe-bosch-seria-8-wgb244040-clasa-a-homeconnect-miniload-ironassist-9-kg-1400-u-min-833168%2F,https://www.itgalaxy.ro/masini-de-spalat-rufe/bosch/masina-spalat-rufe-bosch-seria-8-wgb244040-clasa-a-homeconnect-miniload-ironassist-9-kg-1400-u-min-833168/,https://cdni.itgalaxy.ro/images/products/img_202506271509/833168/full/masina-de-spalat-rufe-bosch-seria-8-wgb244040-clasa-a-homeconnect-miniload-ironassist-9kg-1400-u-min-alb-2009778.jpeg,4201.67,4999.99,3949.99,3319.32,lei,0,in_stock,0,,,,,,,,,,,,,,,,
ITGalaxy.ro,console,Nintendo,045496321444,"Consola Switch 2 7.9inch 256 GB Touchscreen Wi-Fi Negru",,//profitshare.ro/lps/pPv/K79/?redirect=https%3A%2F%2Fwww.itgalaxy.ro%2Fconsole-gaming%2Fnintendo%2Fswitch-2-7-9inch-256-gb-touchscreen-wi-fi-negru-833160%2F,https://www.itgalaxy.ro/console-gaming/nintendo/switch-2-7-9inch-256-gb-touchscreen-wi-fi-negru-833160/,https://cdni.itgalaxy.ro/images/products/img_202506271509/833160/full/consola-nintendo-switch-2-7-9inch-256-gb-touchscreen-wi-fi-negru-2009541.png,2524.36,3003.99,2852,2396.64,lei,0,in_stock,0,,,,,,,,,,,,,,,,
ITGalaxy.ro,Biberoane,Nuk,10216007-1-6-18/RES,"Biberon Resigilat First Choice  Polipropilena Indicator Temperatura si Tetina din Silicon M 300ml 6-18 luni Multicolor","&nbsp; Acest produs NOU a fost pus ca resigilat resigilat, intrucat are ambalajul usor deteriorat. &nbsp;  &nbsp; Mamelonul are mai multe orificii mici de curgere care sunt modelate ca si canalele de lapte din sanul mamei, care le ofera...",//profitshare.ro/lps/pPv/K79/?redirect=https%3A%2F%2Fwww.itgalaxy.ro%2Fbiberoane%2Fnuk%2Fresigilat-first-choice-polipropilena-indicator-temperatura-tetina-din-silicon-m-300ml-6-18-luni-multicolor-832127%2F,https://www.itgalaxy.ro/biberoane/nuk/resigilat-first-choice-polipropilena-indicator-temperatura-tetina-din-silicon-m-300ml-6-18-luni-multicolor-832127/,https://cdni.itgalaxy.ro/images/products/img_202506271509/832127/full/biberon-nuk-resigilat-first-choice-polipropilena-indicator-temperatura-si-tetina-din-silicon-m-300ml-6-18-luni-multicolor-2007294.png,168.06,199.99,70,58.82,lei,0,in_stock,0,,,,,,,,,,,,,,,,
ITGalaxy.ro,"Fierastraie electrice",Ruris,1000dl2023,"Despicator Lemne DL1000 Putere Motor 1.8kW Portocaliu/Alb","&nbsp; Despicatorul de lemne RURIS DL1000 dotat cu un motor electric puternic, fiabil și ecologic, ușurează munca atunci când vine vorba de despicatul lemnelor.&nbsp;Despicatorul de lemne RURIS DL1000&nbsp;este potrivit pentru lucrări de...",//profitshare.ro/lps/pPv/K79/?redirect=https%3A%2F%2Fwww.itgalaxy.ro%2Ffierastraie-electrice%2Fruris%2Fdl1000-putere-motor-1-8kw-portocaliu-alb-555963%2F,https://www.itgalaxy.ro/fierastraie-electrice/ruris/dl1000-putere-motor-1-8kw-portocaliu-alb-555963/,https://cdni.itgalaxy.ro/images/products/img_202303241408/555963/full/ruris-despicator-lemne-ruris-dl1000-1380528.jpeg,2013.44,2395.99,2286.99,1921.84,lei,0,in_stock,0,,,,,,,,,,,,,,,,
ITGalaxy.ro,"accesorii foto-video",JJC,APPP-JC-AETC25,"Inel Extensie APPP-JC-AETC25 Pentru Canon EF 25mm","&nbsp; Inel de extensie de 25 mm cu transfer automat. Este o alternativă excelentă la obiectivele macro. Instalat între corpul camerei și obiectiv, acesta permite creșterea distanței dintre planul focal al obiectivului și materialul fotosensibil...",//profitshare.ro/lps/pPv/K79/?redirect=https%3A%2F%2Fwww.itgalaxy.ro%2Faccesorii-foto-video%2Fjjc%2Fappp-jc-aetc25-pentru-canon-ef-25mm-832326%2F,https://www.itgalaxy.ro/accesorii-foto-video/jjc/appp-jc-aetc25-pentru-canon-ef-25mm-832326/,https://cdni.itgalaxy.ro/images/products/img_202506271509/832326/full/extensie-jjc-appp-jc-aetc25-pentru-canon-ef-25mm-2007815.png,252.09,299.99,149.99,126.04,lei,0,in_stock,0,,,,,,,,,,,,,,,,
ITGalaxy.ro,"Accesorii Electrocasnice",Bissell,2082,"Filtru Apa Pentru Vac & Steam 1977N",,//profitshare.ro/lps/pPv/K79/?redirect=https%3A%2F%2Fwww.itgalaxy.ro%2Faccesorii-electrocasnice%2Fbissell%2Fvac-steam-1977n-832325%2F,https://www.itgalaxy.ro/accesorii-electrocasnice/bissell/vac-steam-1977n-832325/,https://cdni.itgalaxy.ro/images/products/img_202506271509/832325/full/filtru-apa-pentru-bissell-vac-steam-1977n-2007805.png,42.01,49.99,31.99,26.88,lei,0,in_stock,0,,,,,,,,,,,,,,,,
